Index,Type,Synonyms,Antonyms
1,ADJ," ['bare', 'rank', 'blunt', 'over', 'desolate', 'severe', 'raw', 'pure', 'bleak', 'primitive', 'gross', 'crude', 'downright', 'rough', 'stark']"," ['net', 'last', 'final', 'perfect', 'accomplished', 'complete', 'absolute']"
2,ADJ," ['interior', 'inner', 'internal', 'informal', 'intimate', 'knowledgeable', 'inside', 'home', 'sexual', 'national', 'familiar']"," ['remote', 'external', 'outdoor', 'taboo', 'away', 'local', 'outside', 'out', 'international', 'outer']"
3,ADJ," ['final', 'net', 'last', 'terminal', 'humble']"," ['foremost', 'first', 'beginning', 'initiative']"
4,ADJ," ['direct', 'less']"," ['more', 'indirect', 'collateral']"
5,ADJ," ['back', 'hinder']", ['front']
6,ADJ, ['much']," ['minuscule', 'slight', 'short', 'trivial', 'little', 'small']"
7,ADJ," ['possible', 'available', 'likely', 'potential']"," ['inconceivable', 'unavailable', 'unacceptable', 'factual', 'actual', 'genuine', 'impossible', 'real', 'unimaginable', 'improbable', 'unlikely']"
8,ADJ," ['long', 'retentive']"," ['short', 'poor', 'little', 'light', 'inadequate']"
9,ADJ," ['silly', 'short', 'little', 'light', 'deplorable', 'suffering', 'miserable', 'inadequate', 'poor', 'unequal', 'pathetic', 'low', 'ridiculous', 'hapless', 'paltry']"," ['ample', 'productive', 'plentiful', 'fat', 'robust', 'rich', 'deep', 'fertile']"
10,ADJ, ['abundant'], ['scarce']
11,ADJ," ['alien', 'unusual', 'exotic', 'foreign', 'strange', 'unknown']"," ['domestic', 'native']"
12,ADJ," ['former', 'other', 'onetime', 'early', 'sometime']"," ['same', 'like', 'previous', 'old', 'late']"
13,ADJ," ['collateral', 'indirect']", ['direct']
14,ADJ," ['difficult', 'concentrated', 'tough', 'heavy', 'hard', 'strong', 'severe', 'knockout']"," ['loose', 'prosperous', 'gentle', 'soft', 'light', 'comfortable', 'easy']"
15,ADJ, ['due']," ['unjustified', 'unreasonable', 'undue', 'unwarranted', 'excessive']"
16,ADJ," ['ripe', 'sizable', 'efficient', 'near', 'advanced', 'sober', 'dear', 'total', 'well', 'severe', 'intelligent', 'good', 'secure', 'safe', 'proper', 'legal', 'full', 'heavy', 'serious', 'expert', 'adept', 'technical', 'healthy', 'profound', 'grave', 'instrumental', 'just', 'honorable', 'wide', 'sound', 'equitable', 'beneficial', 'broad', 'respectable', 'mature', 'pricey', 'true', 'physical', 'strong', 'right', 'replete', 'proficient', 'correct', 'dangerous', 'entire', 'reliable', 'earnest', 'honest', 'close', 'hefty', 'effective', 'costly', 'ethical', 'fair']"," ['malign', 'tough', 'genial', 'defective', 'forthright', 'risky', 'big', 'bad', 'sorry', 'unfit', 'blunt', 'evil', 'vocal', 'frank', 'kind', 'mental', 'speculative', 'outspoken']"
17,ADJ, ['past'], ['present']
18,ADJ," ['little', 'depressed', 'small', 'grim', 'gloomy', 'blue', 'minor', 'diminished', 'down', 'secondary', 'broken', 'lowly', 'modest', 'minuscule', 'miserable', 'mild', 'mean', 'low', 'base', 'humble']"," ['proud', 'lofty']"
19,ADJ," ['significant', 'substantial', 'substantive', 'true', 'material', 'real', 'actual', 'solid', 'strong', 'factual', 'genuine', 'tangible', 'square']"," ['token', 'nominal']"
20,ADJ," ['fiscal', 'financial']", ['nonfinancial']
21,ADJ," ['prosperous', 'light', 'fresh', 'slack', 'easy', 'blank', 'informal', 'timid', 'neat', 'white', 'clear', 'uninfected', 'open', 'unused', 'clean', 'liberal', 'short', 'comfortable', 'free', 'gentle', 'fair', 'soft', 'large', 'big', 'sound', 'great']"," ['sorry', 'black', 'obscure', 'dark', 'grim', 'benighted', 'dismal', 'weighty', 'heavy', 'sour', 'glum', 'grave', 'drab', 'hard', 'gloomy', 'blue', 'sinister', 'little', 'poor', 'profound', 'vague', 'unfounded', 'jobless', 'unwarranted', 'loose', 'wild', 'shadowy', 'inadequate', 'idle', 'weak', 'faint']"
22,ADJ," ['conscientious', 'scrupulous']", ['unscrupulous']
23,ADJ, ['top'], ['bottom']
24,ADJ," ['private', 'underground', 'confidential', 'secret', 'single', 'individual', 'privy']", ['public']
25,ADJ, ['insured'], ['uninsured']
26,ADJ," ['dependent', 'subject', 'subordinate', 'qualified']"," ['dominant', 'independent', 'sovereign', 'main']"
27,ADJ," ['high', 'lofty', 'eminent', 'mellow']"," ['modest', 'low', 'humble', 'grim', 'gloomy', 'blue', 'lowly', 'miserable', 'broken', 'depressed', 'small', 'down']"
28,ADJ, ['cool']," ['tender', 'strong', 'ardent', 'fond', 'warm', 'quick']"
29,ADJ," ['worn', 'damaging', 'minus', 'negative', 'few']"," ['young', 'affirmative', 'optimistic', 'fresh', 'raw', 'novel', 'many', 'new']"
30,ADJ, ['many'], ['few']
31,ADJ, ['expensive']," ['punk', 'bum', 'flashy', 'inexpensive', 'cheesy', 'flash', 'tawdry', 'loud', 'cheap', 'sleazy']"
32,ADJ," ['sure', 'certain']"," ['uncertain', 'unsettled']"
33,ADJ, ['extraordinary']," ['ordinary', 'average']"
34,ADJ," ['external', 'outdoor', 'outside', 'international', 'away', 'remote']"," ['interior', 'internal', 'intimate', 'inner', 'home', 'national']"
35,ADJ, ['appropriate'], ['inappropriate']
36,ADJ," ['average', 'honest', 'sensible', 'just', 'mediocre', 'sensitive', 'clean', 'fair', 'middling', 'reasonable']"," ['unreasonable', 'excessive', 'undue']"
37,ADJ," ['future', 'adjacent', 'next']", ['past']
38,ADJ, ['useful'], ['useless']
39,ADJ," ['large', 'profound', 'grave', 'prominent', 'keen', 'sound', 'turgid', 'great', 'weighty', 'bully', 'liberal', 'big', 'outstanding', 'grown', 'bad', 'dandy', 'capital', 'heavy', 'neat', 'spectacular', 'swell', 'hard', 'adult', 'striking']"," ['modest', 'minuscule', 'slight', 'diminished', 'short', 'trivial', 'minor', 'humble', 'little', 'lowly', 'small', 'low']"
